,correlation,pvalue
KOG2391@euNOG_KOG0665@euNOG_MEME-1,0.9032052540432028,5.715407574669205e-57
KOG0787@euNOG_KOG4194@euNOG_MEME-1,0.877399741573422,3.232304597718948e-45
KOG2166@euNOG_KOG0281@euNOG_MEME-4,0.8773914033919669,6.6262807977292045e-53
KOG2292@euNOG_KOG2291@euNOG_MEME-7,0.8702501054255383,4.562876190571552e-51
KOG3833@euNOG_KOG0349@euNOG_MEME-7,0.8671043297661402,4.449208345330237e-35
KOG2180@euNOG_KOG3065@euNOG_MEME-1,0.8669309849861899,9.898810173656699e-49
KOG1724@euNOG_KOG0281@euNOG_MEME-2,0.8405285418681396,6.586695019787214e-44
KOG1190@euNOG_KOG0115@euNOG_MEME-2,0.8347304096226076,1.1634148716694121e-27
KOG2292@euNOG_KOG2291@euNOG_MEME-6,0.8281099803085623,4.5722711238728793e-42
KOG2292@euNOG_KOG2291@euNOG_MEME-5,0.8281099803085623,4.5722711238728793e-42
KOG2166@euNOG_KOG0281@euNOG_MEME-9,0.8275670630211522,5.74985760151219e-42
KOG2292@euNOG_KOG2754@euNOG_MEME-6,0.8270473704336266,7.154830943852928e-42
KOG2292@euNOG_KOG2291@euNOG_MEME-1,0.8249969778513222,1.68312305839531e-41
KOG2180@euNOG_KOG3065@euNOG_MEME-6,0.824519220090699,3.5923164762610292e-40
KOG1342@euNOG_KOG0115@euNOG_MEME-2,0.8178941950027472,5.654835681486078e-41
KOG4204@euNOG_KOG0115@euNOG_MEME-7,0.8131629288082958,3.890836740064533e-36
KOG1795@euNOG_KOG2441@euNOG_MEME-1,0.8115765984877006,6.912062109811595e-40
KOG0543@euNOG_KOG1710@euNOG_MEME-1,0.8111741204339262,2.64896742185942e-36
KOG1010@euNOG_KOG0067@euNOG_MEME-2,0.8109779846175578,4.475215110623953e-24
KOG0145@euNOG_KOG0696@euNOG_MEME-5,0.8076495570927336,8.030734343797588e-23
KOG1113@euNOG_KOG3577@euNOG_MEME-9,0.8026335063628577,7.776188882311118e-37
KOG2292@euNOG_KOG2291@euNOG_MEME-8,0.801932585843531,1.2523157555838427e-37
KOG3302@euNOG_KOG0871@euNOG_MEME-7,0.8017098085508649,8.086225700856197e-38
KOG0020@euNOG_KOG0200@euNOG_MEME-9,0.7992934239427687,2.486694712893932e-38
KOG0166@euNOG_KOG2724@euNOG_MEME-7,0.798733681647822,3.0518064948151e-38
KOG0275@euNOG_KOG2498@euNOG_MEME-5,0.7953401538684153,2.3131737088482464e-31
KOG0686@euNOG_KOG2284@euNOG_MEME-1,0.7908867693859252,1.0078103746104245e-29
KOG0145@euNOG_KOG0696@euNOG_MEME-9,0.7901006302541164,2.906160366813595e-21
KOG1950@euNOG_KOG3742@euNOG_MEME-3,0.7900331327316237,4.763470041707148e-30
KOG2568@euNOG_KOG3643@euNOG_MEME-8,0.787726361443376,1.6974180071305064e-28
KOG2292@euNOG_KOG2754@euNOG_MEME-5,0.7863729095926286,2.705264613816373e-35
KOG1010@euNOG_KOG0067@euNOG_MEME-8,0.7850877192982455,1.0970759308103639e-21
KOG1690@euNOG_KOG3646@euNOG_MEME-8,0.7850853381855942,9.996334980973854e-27
KOG1010@euNOG_KOG0067@euNOG_MEME-9,0.7837322933342197,1.4328133058490867e-21
KOG2260@euNOG_KOG0199@euNOG_MEME-1,0.7836039099693788,9.082217499273267e-22
KOG2135@euNOG_KOG4651@euNOG_MEME-4,0.7807200583588263,2.0106560386071022e-18
KOG0442@euNOG_KOG0281@euNOG_MEME-3,0.7796181834882009,3.894117968944221e-34
KOG0020@euNOG_KOG0200@euNOG_MEME-1,0.7769288976320684,5.556736678896806e-35
KOG1010@euNOG_KOG0656@euNOG_MEME-7,0.7760393570381664,6.2932565493516325e-21
KOG2292@euNOG_KOG2291@euNOG_MEME-3,0.7721149014028593,2.5488619542381075e-33
KOG1007@euNOG_KOG3065@euNOG_MEME-1,0.7718716116093018,9.71578235045263e-28
KOG0359@euNOG_0IE2X@euNOG_MEME-4,0.7688014402855046,2.842401492157516e-33
KOG3833@euNOG_KOG0349@euNOG_MEME-10,0.768273325346536,4.7971919286885334e-23
KOG3414@euNOG_0IGQ1@euNOG_MEME-8,0.7676605683023442,1.450656263700873e-31
KOG0202@euNOG_KOG3646@euNOG_MEME-1,0.7669275016198064,7.859376971086607e-33
KOG0495@euNOG_KOG0193@euNOG_MEME-1,0.7668338469447576,1.8414414709459973e-31
KOG3636@euNOG_KOG3922@euNOG_MEME-2,0.7659090909090907,2.1204523981685413e-17
KOG1795@euNOG_KOG2441@euNOG_MEME-6,0.7658467360454116,4.468271736566849e-33
KOG4436@euNOG_KOG0281@euNOG_MEME-6,0.7640594855746344,2.794841957648432e-27
KOG1937@euNOG_0IWFF@euNOG_MEME-4,0.7631102660209128,1.1215342400329041e-15
KOG1724@euNOG_KOG0281@euNOG_MEME-1,0.7597538371178963,2.4090589224973063e-31
KOG0985@euNOG_KOG0281@euNOG_MEME-7,0.7597217761636016,4.29309857874737e-32
KOG0836@euNOG_0IQSC@euNOG_MEME-10,0.759486158364826,1.0102209867119105e-24
KOG0679@euNOG_KOG3646@euNOG_MEME-2,0.7592829409850733,7.522103506158004e-32
KOG3302@euNOG_KOG0871@euNOG_MEME-1,0.7576597020292953,1.2020932012512968e-31
KOG3050@euNOG_0IE71@euNOG_MEME-2,0.7564511986932039,2.314494625920122e-25
KOG1142@euNOG_KOG2341@euNOG_MEME-1,0.7559607605403015,4.386084564467644e-23
KOG1007@euNOG_KOG3065@euNOG_MEME-4,0.755632856866937,5.0532057892234594e-26
KOG2901@euNOG_KOG2692@euNOG_MEME-3,0.7554022029080016,5.333009172851348e-26
KOG0985@euNOG_KOG0251@euNOG_MEME-1,0.7544677188477951,1.9564211113443174e-31
KOG3682@euNOG_0IWFF@euNOG_MEME-9,0.7537783614444088,3.591555413386652e-17
KOG1190@euNOG_KOG1588@euNOG_MEME-2,0.7533327342334566,6.59892170782588e-20
KOG1795@euNOG_KOG2441@euNOG_MEME-7,0.7522451107840937,2.4133316818943556e-31
KOG1795@euNOG_KOG2441@euNOG_MEME-5,0.7522451107840937,2.4133316818943556e-31
0IWIY@euNOG_0IZVK@euNOG_MEME-1,0.7521680821607228,3.033168693252811e-10
KOG3414@euNOG_0IGQ1@euNOG_MEME-6,0.7519872813990461,1.1363911067794574e-29
KOG1145@euNOG_KOG3877@euNOG_MEME-7,0.7500025168587587,6.730533462831689e-29
KOG0050@euNOG_KOG0977@euNOG_MEME-4,0.7494545470321456,1.842992357136037e-30
0IF68@euNOG_0IGHW@euNOG_MEME-6,0.7485928705440901,3.267935023019949e-13
KOG1241@euNOG_KOG3763@euNOG_MEME-6,0.7476190476190472,1.0495453112501142e-29
KOG4270@euNOG_KOG4348@euNOG_MEME-3,0.7474166075732608,2.7783709479765165e-19
KOG2130@euNOG_KOG4676@euNOG_MEME-7,0.7470271689729829,1.0540729507989484e-25
0IFWY@euNOG_0IN7T@euNOG_MEME-6,0.7469851744685979,2.6163796213710555e-27
KOG0841@euNOG_KOG1044@euNOG_MEME-5,0.7469270424508561,7.099213770807819e-31
KOG3682@euNOG_0IWFF@euNOG_MEME-8,0.7467286566323437,1.0136849317541864e-16
KOG1795@euNOG_KOG0670@euNOG_MEME-5,0.7464219290162132,1.2313706283736469e-30
KOG2394@euNOG_KOG3656@euNOG_MEME-7,0.746390491252467,6.354430275925983e-20
KOG4436@euNOG_KOG3735@euNOG_MEME-8,0.7439902306951316,3.163079901622721e-25
KOG0896@euNOG_KOG3842@euNOG_MEME-3,0.742562484806693,2.2708782251780476e-27
KOG3887@euNOG_KOG4107@euNOG_MEME-5,0.7425349827995178,4.962209563580249e-24
KOG0810@euNOG_KOG3065@euNOG_MEME-1,0.7418441200357455,4.8166989334158594e-29
KOG2485@euNOG_KOG4194@euNOG_MEME-3,0.7415473301193135,1.2216691600975453e-24
KOG2135@euNOG_KOG4651@euNOG_MEME-2,0.7413571269033499,7.356375142646744e-16
KOG0147@euNOG_KOG0977@euNOG_MEME-8,0.7398670794517052,4.8148562210969323e-26
KOG1864@euNOG_KOG0308@euNOG_MEME-4,0.7392943553007107,1.661294995177485e-26
KOG3148@euNOG_KOG3892@euNOG_MEME-2,0.7392722422010127,2.387655960421307e-18
KOG1636@euNOG_0IRVA@euNOG_MEME-2,0.7389452279358297,3.0888097505746215e-29
KOG1992@euNOG_KOG2350@euNOG_MEME-1,0.7382465011749926,3.7076482593696973e-29
KOG3745@euNOG_KOG2215@euNOG_MEME-4,0.737161501918714,1.781821610506067e-21
KOG0697@euNOG_KOG3538@euNOG_MEME-1,0.7369304046042947,2.2352924912958935e-24
KOG3302@euNOG_KOG0871@euNOG_MEME-3,0.7367912088543249,3.648856312392031e-29
KOG1113@euNOG_KOG3577@euNOG_MEME-8,0.7357970674581619,3.3703803864631877e-28
KOG1140@euNOG_KOG3538@euNOG_MEME-4,0.7335219767934409,9.094531583345367e-27
KOG2584@euNOG_0II16@euNOG_MEME-9,0.7333985272111644,2.5348448274551922e-20
KOG2167@euNOG_KOG3656@euNOG_MEME-8,0.733226191132783,1.9971279124089828e-28
KOG1937@euNOG_0IWFF@euNOG_MEME-10,0.7324152730963368,5.526928017272438e-14
KOG2000@euNOG_0IY2Y@euNOG_MEME-10,0.7321100041114544,3.8999043260752555e-28
KOG1581@euNOG_KOG3646@euNOG_MEME-4,0.731602116643398,7.237788361271055e-22
KOG0304@euNOG_KOG4006@euNOG_MEME-4,0.7298719632312103,1.001657783774836e-28
KOG0733@euNOG_KOG3656@euNOG_MEME-7,0.7294000814086765,5.256837086262879e-29
KOG1383@euNOG_KOG4194@euNOG_MEME-1,0.7288993829934153,2.6767477916164157e-25
KOG1839@euNOG_KOG0300@euNOG_MEME-5,0.7283732959257626,2.9358479175342067e-23
KOG1724@euNOG_KOG0656@euNOG_MEME-4,0.7280631622903877,1.0655301108197841e-27
KOG0275@euNOG_KOG2498@euNOG_MEME-4,0.7258032247531326,7.488871487698396e-24
KOG1126@euNOG_0IRVA@euNOG_MEME-1,0.7248594455117799,1.0482908958887617e-26
KOG3148@euNOG_KOG3892@euNOG_MEME-8,0.7238482967695945,2.568950049879177e-17
KOG0201@euNOG_KOG0665@euNOG_MEME-7,0.7236847285608161,8.481350041087527e-25
KOG0687@euNOG_KOG1883@euNOG_MEME-9,0.7220757806752748,3.3871976975449776e-28
KOG2023@euNOG_KOG3763@euNOG_MEME-1,0.7208451044777874,2.6871800596800485e-26
KOG3745@euNOG_KOG2215@euNOG_MEME-9,0.7206412807541231,3.590554699624846e-20
KOG2265@euNOG_KOG0281@euNOG_MEME-2,0.7205860286621694,1.3633222076470952e-26
KOG2467@euNOG_KOG3735@euNOG_MEME-3,0.7204684804754254,4.630636000844814e-27
KOG2002@euNOG_KOG2821@euNOG_MEME-6,0.7200354182884628,4.2815147332525195e-25
KOG2865@euNOG_KOG3458@euNOG_MEME-3,0.7187656369921399,9.651745621439554e-23
KOG0697@euNOG_KOG3538@euNOG_MEME-6,0.7180760362582732,1.1070095426997938e-22
KOG3887@euNOG_KOG4107@euNOG_MEME-8,0.7178987610772378,7.146609775777748e-22
KOG0521@euNOG_KOG2272@euNOG_MEME-5,0.7171616575719415,8.492564732867071e-19
KOG0521@euNOG_KOG2272@euNOG_MEME-4,0.7161586579341507,9.990415672234993e-19
KOG2002@euNOG_KOG2821@euNOG_MEME-7,0.7157143955777893,1.1034687482191639e-24
KOG1132@euNOG_KOG4194@euNOG_MEME-1,0.7152987144306908,1.7338270953004175e-24
KOG1795@euNOG_KOG2136@euNOG_MEME-3,0.7141726883087266,4.861663594431226e-27
KOG1062@euNOG_KOG2057@euNOG_MEME-9,0.7141348896178987,3.423742820743351e-27
KOG0020@euNOG_KOG0200@euNOG_MEME-7,0.7138747178790558,2.5445618458127855e-27
KOG0335@euNOG_KOG0977@euNOG_MEME-1,0.7137106105559345,4.682619142346484e-26
KOG0275@euNOG_KOG2498@euNOG_MEME-3,0.7131650680322612,9.897313570919683e-23
KOG1301@euNOG_KOG2678@euNOG_MEME-3,0.7123287973791177,6.426343861164866e-26
KOG2636@euNOG_KOG0155@euNOG_MEME-8,0.7118019328330409,2.487915775587569e-26
KOG1690@euNOG_KOG4651@euNOG_MEME-1,0.7116325603035834,4.04753389437847e-20
