,correlation,pvalue
KOG1113@euNOG_KOG3577@euNOG_MEME-8,0.8219873545608518,5.5745718483771144e-40
KOG2865@euNOG_KOG3382@euNOG_MEME-5,0.8069941334957403,3.226142009006105e-32
KOG0145@euNOG_KOG0696@euNOG_MEME-7,0.8069471022662068,9.33642273056128e-23
KOG3218@euNOG_0IN7T@euNOG_MEME-6,0.8041184032296178,9.557426190951415e-38
KOG2166@euNOG_KOG0281@euNOG_MEME-4,0.8017185852866762,1.3527554350695107e-37
KOG4436@euNOG_KOG0281@euNOG_MEME-9,0.7940572020983497,9.202964960095625e-31
KOG2151@euNOG_KOG1565@euNOG_MEME-8,0.7932727627298982,4.732111239554352e-33
KOG0505@euNOG_0IN7T@euNOG_MEME-4,0.7923741480522087,7.118562310026971e-27
KOG4436@euNOG_KOG0281@euNOG_MEME-8,0.7923080401387448,1.5225663795898671e-30
KOG2166@euNOG_KOG0281@euNOG_MEME-1,0.7875862068965516,1.8082316966758773e-35
KOG2865@euNOG_KOG3382@euNOG_MEME-1,0.7859010269060837,1.50053649272853e-29
KOG2574@euNOG_KOG3002@euNOG_MEME-6,0.7852531097055443,6.341744372600978e-35
KOG1724@euNOG_KOG0281@euNOG_MEME-5,0.7781198786048282,9.986232772606644e-34
KOG0858@euNOG_KOG1792@euNOG_MEME-8,0.7772581468599394,1.2688859998713944e-34
KOG1875@euNOG_KOG3600@euNOG_MEME-10,0.7683409113152235,2.870608618832852e-22
KOG0145@euNOG_KOG0696@euNOG_MEME-6,0.7665759763139,2.1572865105185266e-19
KOG1163@euNOG_0IG3U@euNOG_MEME-10,0.7629074843554686,6.271711753840328e-32
KOG3636@euNOG_KOG3922@euNOG_MEME-1,0.7627700713964738,3.4169981268891024e-17
KOG2829@euNOG_0IRVA@euNOG_MEME-3,0.7605111158389065,4.068335739876553e-23
KOG4508@euNOG_KOG1565@euNOG_MEME-6,0.7600764939271288,4.4507155743144076e-23
KOG0796@euNOG_KOG4795@euNOG_MEME-9,0.7586820210886831,2.1248452913858264e-28
KOG1007@euNOG_KOG3065@euNOG_MEME-5,0.7570595858577847,3.6158613291356065e-26
KOG1010@euNOG_KOG0067@euNOG_MEME-1,0.7553152078862314,2.573059416479594e-19
KOG1597@euNOG_KOG2393@euNOG_MEME-8,0.7536509865935477,9.651840453890291e-27
KOG0810@euNOG_KOG0860@euNOG_MEME-2,0.7501261266004657,5.346838325953055e-30
KOG1690@euNOG_KOG3646@euNOG_MEME-5,0.7477518633263268,4.399344069926345e-23
KOG2327@euNOG_KOG4437@euNOG_MEME-10,0.7464311717984957,2.335805688937962e-26
KOG2865@euNOG_KOG3382@euNOG_MEME-4,0.7450274820536493,3.7682855109116553e-25
KOG1670@euNOG_0J2Z0@euNOG_MEME-8,0.7392647727830265,3.104065329953799e-28
KOG1311@euNOG_KOG3882@euNOG_MEME-10,0.7390874902940391,9.01271416334286e-30
KOG2037@euNOG_0IP8G@euNOG_MEME-9,0.7379313699177134,1.4199698373369912e-22
KOG2568@euNOG_KOG3643@euNOG_MEME-9,0.7369555266607763,2.3844551784411444e-23
KOG4369@euNOG_KOG3577@euNOG_MEME-7,0.7342503072914985,1.2181568140478172e-16
KOG4042@euNOG_0IQSC@euNOG_MEME-1,0.7340879228819085,7.99929062462798e-18
KOG1531@euNOG_KOG3126@euNOG_MEME-8,0.732940912319937,2.2072650222927593e-27
KOG2594@euNOG_0IRY7@euNOG_MEME-6,0.730940814637426,4.138056329616064e-17
KOG2277@euNOG_0IGQ1@euNOG_MEME-5,0.729720091508848,1.5197074303249083e-26
KOG2111@euNOG_KOG4223@euNOG_MEME-10,0.7292427489006912,5.360325342921549e-26
KOG2176@euNOG_KOG3691@euNOG_MEME-8,0.7289643826531377,3.793393266518564e-22
KOG0796@euNOG_KOG4795@euNOG_MEME-8,0.7263001870593785,4.771962438162364e-25
dsn1_csm1_MEME-3,0.7259779493082785,2.507665614215252e-13
KOG4234@euNOG_KOG1141@euNOG_MEME-6,0.7249672804725578,4.2028003457828976e-24
KOG3083@euNOG_KOG0193@euNOG_MEME-7,0.7221853807284744,1.9660865399884083e-26
KOG1999@euNOG_KOG0834@euNOG_MEME-5,0.7221786307913298,3.0694371407649208e-27
KOG1999@euNOG_KOG0834@euNOG_MEME-3,0.7221786307913298,3.0694371407649208e-27
KOG0275@euNOG_KOG2498@euNOG_MEME-2,0.7192785175317269,2.8898467292946047e-23
KOG2184@euNOG_KOG4562@euNOG_MEME-10,0.7165066101774678,2.172828807507606e-22
KOG3174@euNOG_KOG4348@euNOG_MEME-10,0.7142193176148377,1.0005652128126567e-21
KOG3636@euNOG_KOG3922@euNOG_MEME-9,0.7138012116496051,2.5179324475293108e-14
KOG1010@euNOG_KOG0067@euNOG_MEME-4,0.7120516440958822,2.0364000810917993e-16
KOG3015@euNOG_KOG1048@euNOG_MEME-7,0.7118212935563276,1.0626120605116037e-23
KOG3126@euNOG_KOG1854@euNOG_MEME-1,0.7108895013747805,4.606529252523757e-20
KOG1007@euNOG_KOG3065@euNOG_MEME-7,0.709451095039811,8.467920034656831e-22
KOG2460@euNOG_KOG2899@euNOG_MEME-10,0.7084161181228867,1.0610322237716303e-23
KOG0679@euNOG_KOG3001@euNOG_MEME-6,0.7066983613873731,5.667922905505905e-26
KOG2386@euNOG_KOG2724@euNOG_MEME-8,0.7054651163977848,1.4480061174661184e-20
KOG2966@euNOG_KOG1141@euNOG_MEME-4,0.7043549567084065,1.669502358711437e-15
KOG1937@euNOG_0IHDB@euNOG_MEME-5,0.7034432081838866,1.3806637798444082e-12
KOG4204@euNOG_KOG3001@euNOG_MEME-1,0.7032981308588593,2.1504590359999265e-23
KOG0794@euNOG_KOG1883@euNOG_MEME-8,0.7027742701043331,1.630988578173535e-17
KOG2577@euNOG_KOG4562@euNOG_MEME-5,0.7019616482845787,1.6599606276506258e-18
KOG2460@euNOG_KOG2899@euNOG_MEME-8,0.7005690205830548,5.267926907944204e-23
KOG0505@euNOG_0IN7T@euNOG_MEME-3,0.7005085389153904,7.501474252358874e-19
KOG3291@euNOG_KOG0832@euNOG_MEME-8,0.6996757065239503,3.873244119149882e-25
KOG4628@euNOG_KOG1935@euNOG_MEME-6,0.6996090290425314,6.88108927858389e-22
KOG1867@euNOG_KOG4194@euNOG_MEME-2,0.6986174732527606,2.012933381180444e-23
KOG3886@euNOG_KOG4107@euNOG_MEME-10,0.6976812948318831,1.4721411752259667e-20
KOG2381@euNOG_KOG3882@euNOG_MEME-1,0.6972958410676517,2.77698997693086e-22
KOG3291@euNOG_KOG0832@euNOG_MEME-9,0.6971830988128469,6.695284318400883e-25
KOG1483@euNOG_KOG3588@euNOG_MEME-8,0.693784372966477,2.4671878721801657e-14
KOG4270@euNOG_KOG4348@euNOG_MEME-2,0.693530695640897,9.095953505022564e-16
KOG2314@euNOG_KOG0122@euNOG_MEME-8,0.6934069518570055,1.0904009146401383e-24
KOG4521@euNOG_KOG2271@euNOG_MEME-5,0.6914688075698755,1.6484303238764965e-23
KOG3833@euNOG_KOG0349@euNOG_MEME-4,0.690725076668653,3.546276392245275e-17
KOG3302@euNOG_KOG1597@euNOG_MEME-9,0.6903048637142214,2.124886650669393e-24
KOG2865@euNOG_KOG3458@euNOG_MEME-8,0.6902650343954251,2.025632405709358e-20
KOG3471@euNOG_KOG2074@euNOG_MEME-3,0.6900054432895997,8.35604316364943e-24
KOG2292@euNOG_KOG2291@euNOG_MEME-8,0.6893268245159492,3.6245848838861426e-24
KOG1523@euNOG_KOG3380@euNOG_MEME-10,0.6879305475675944,1.1174268640600846e-19
KOG1795@euNOG_KOG0113@euNOG_MEME-8,0.6877956480605487,1.8974904908783266e-24
KOG1690@euNOG_KOG4651@euNOG_MEME-2,0.6871442648587288,2.3457592429802266e-18
KOG4628@euNOG_KOG1935@euNOG_MEME-8,0.6870287817905056,7.113609821465115e-21
KOG3148@euNOG_KOG3892@euNOG_MEME-4,0.6868828707064527,4.179940171650854e-15
KOG3075@euNOG_KOG3676@euNOG_MEME-8,0.6864553270627853,3.951713458224205e-20
KOG3148@euNOG_KOG3892@euNOG_MEME-7,0.6859156375645503,4.727608187509116e-15
KOG3949@euNOG_KOG4723@euNOG_MEME-1,0.6852960396944563,5.371137396637726e-16
KOG0817@euNOG_0IRY7@euNOG_MEME-7,0.6850399526930077,1.151450735750768e-22
KOG0773@euNOG_KOG0774@euNOG_MEME-5,0.6843718011233453,1.7948514735814695e-17
KOG1795@euNOG_KOG0113@euNOG_MEME-9,0.6837917921344051,4.442453552502503e-24
KOG2865@euNOG_KOG1713@euNOG_MEME-10,0.6835766627476405,6.503686996011227e-20
KOG0505@euNOG_KOG1701@euNOG_MEME-9,0.6835106382978724,1.0783051375631153e-17
KOG1007@euNOG_KOG3065@euNOG_MEME-8,0.6794314624580671,1.8049811065568434e-19
KOG0264@euNOG_KOG0977@euNOG_MEME-3,0.6793885700928161,1.1146900154929807e-23
KOG0145@euNOG_KOG0696@euNOG_MEME-8,0.6792633253564591,5.24675314664334e-14
KOG0278@euNOG_0IJDN@euNOG_MEME-9,0.678184230676627,2.1332896830788694e-16
KOG1670@euNOG_0J2Z0@euNOG_MEME-9,0.6779807290391207,2.446489522003544e-22
KOG2261@euNOG_KOG2294@euNOG_MEME-1,0.6772741147438635,9.518404712047025e-17
KOG2659@euNOG_KOG1565@euNOG_MEME-10,0.6771807453439889,4.894184393242419e-19
KOG1839@euNOG_KOG3877@euNOG_MEME-3,0.6765391767704646,3.9885344189028337e-19
KOG1875@euNOG_KOG3600@euNOG_MEME-6,0.6754246730842672,1.077351222245228e-15
KOG3320@euNOG_KOG1767@euNOG_MEME-6,0.6752911798701371,1.2034260312803864e-22
KOG2966@euNOG_KOG1141@euNOG_MEME-9,0.6751869784566753,6.190220738689492e-14
KOG3126@euNOG_KOG1854@euNOG_MEME-3,0.6737555299092302,1.83176699578736e-17
KOG3083@euNOG_KOG0977@euNOG_MEME-9,0.6734996500786959,5.808442206814838e-22
KOG1875@euNOG_KOG1883@euNOG_MEME-8,0.6723525118895278,1.6175447412656104e-15
KOG2314@euNOG_KOG0122@euNOG_MEME-4,0.6720321931589539,9.181018807310179e-23
KOG4521@euNOG_KOG2271@euNOG_MEME-10,0.6718544716782359,7.948415235081412e-22
KOG0836@euNOG_0IQSC@euNOG_MEME-7,0.6717424990817327,9.928685407465649e-18
KOG2682@euNOG_KOG3877@euNOG_MEME-9,0.6710554379810075,6.799180409918162e-17
KOG2701@euNOG_0IZVK@euNOG_MEME-2,0.6709951129499587,5.191229600848797e-10
KOG2260@euNOG_KOG0199@euNOG_MEME-8,0.6697237958895487,3.468273603746115e-14
KOG1864@euNOG_KOG0308@euNOG_MEME-5,0.6670712692544347,3.838744439026003e-20
KOG4369@euNOG_KOG3577@euNOG_MEME-3,0.6663647276459671,5.635029445211511e-13
KOG1531@euNOG_KOG3126@euNOG_MEME-6,0.6660914120893353,3.1577354269886385e-21
KOG3833@euNOG_KOG0349@euNOG_MEME-7,0.6651596665084085,1.2552283323731048e-15
KOG0714@euNOG_KOG3646@euNOG_MEME-9,0.6648090492233459,3.54864009737329e-18
KOG0758@euNOG_KOG4194@euNOG_MEME-9,0.664116053881806,3.748430599713968e-19
KOG1531@euNOG_KOG1758@euNOG_MEME-6,0.6635351212621894,5.05084462175044e-21
KOG3056@euNOG_KOG0656@euNOG_MEME-10,0.6632046811664628,1.2111233412615594e-15
KOG3302@euNOG_KOG0871@euNOG_MEME-7,0.6628035416792939,5.56427038808922e-22
KOG1273@euNOG_0IF2R@euNOG_MEME-7,0.6624556738089834,9.565345743496169e-17
KOG0295@euNOG_KOG1853@euNOG_MEME-10,0.6614598077592863,3.43344191847191e-17
KOG3313@euNOG_KOG4227@euNOG_MEME-4,0.6613815451691204,3.124663617856089e-21
KOG3302@euNOG_KOG0392@euNOG_MEME-6,0.6613769164956413,7.309911454407816e-22
KOG3636@euNOG_KOG3922@euNOG_MEME-6,0.6613069436753299,7.540298360201694e-12
KOG2023@euNOG_KOG3763@euNOG_MEME-9,0.6610962566844917,5.888083381812875e-21
KOG0275@euNOG_KOG2498@euNOG_MEME-9,0.6606857876705023,1.177311785808862e-18
KOG1795@euNOG_KOG2441@euNOG_MEME-8,0.6602657072442311,5.063532578950332e-22
KOG0678@euNOG_KOG3155@euNOG_MEME-9,0.6594259015879189,3.400010493119802e-19
KOG2939@euNOG_KOG3065@euNOG_MEME-9,0.6590284933204409,1.5923228238820826e-14
KOG0858@euNOG_KOG1792@euNOG_MEME-7,0.6586297244619613,6.928549680642615e-22
KOG2292@euNOG_KOG2754@euNOG_MEME-4,0.6585425259901272,1.6681789311347863e-21
