,correlation,pvalue
0KCZ0@euNOG_KOG1048@euNOG_MEME-6,0.8581962563811684,1.8207146240488757e-25
KOG4203@euNOG_KOG0200@euNOG_MEME-11,0.8223909540513888,8.374239654734802e-40
KOG1950@euNOG_KOG3742@euNOG_MEME-11,0.8064852813925891,3.7745016535386063e-32
KOG0787@euNOG_KOG4194@euNOG_MEME-10,0.801685942611247,3.4265065604594323e-32
KOG2292@euNOG_KOG2291@euNOG_MEME-6,0.7806126831408129,1.768243406401804e-34
KOG2292@euNOG_KOG2291@euNOG_MEME-11,0.7788632151961914,3.0924475952158594e-34
0KCZ0@euNOG_KOG1048@euNOG_MEME-7,0.776957262737725,3.720896010049767e-18
KOG3218@euNOG_0IN7T@euNOG_MEME-5,0.7735764383949835,2.5709873461336867e-33
KOG3636@euNOG_KOG3922@euNOG_MEME-2,0.7659090909090907,2.1204523981685413e-17
KOG2966@euNOG_KOG1141@euNOG_MEME-6,0.7634836771571305,2.351432366450465e-19
KOG2608@euNOG_KOG0912@euNOG_MEME-13,0.7627339084865788,1.2812904916292474e-29
KOG3414@euNOG_0IGQ1@euNOG_MEME-7,0.7626751877889606,6.023429262705175e-31
KOG4369@euNOG_KOG3577@euNOG_MEME-13,0.7615842511651251,1.8837487829374957e-18
KOG4203@euNOG_KOG3002@euNOG_MEME-11,0.7614180719795839,5.542645650162035e-31
KOG4369@euNOG_KOG3577@euNOG_MEME-6,0.7559351710961636,4.6627189351207255e-18
KOG3302@euNOG_KOG0871@euNOG_MEME-5,0.7546181241949265,2.8651907897469206e-31
KOG1937@euNOG_0IWFF@euNOG_MEME-9,0.7467354691102874,9.61439728501358e-15
KOG2580@euNOG_KOG0193@euNOG_MEME-14,0.7417750950873718,7.765734088729597e-25
KOG0145@euNOG_KOG0696@euNOG_MEME-9,0.7393207312948598,1.7564815126835458e-17
KOG3148@euNOG_KOG3892@euNOG_MEME-10,0.7366443263124546,3.621190199485521e-18
KOG1609@euNOG_KOG3643@euNOG_MEME-7,0.7349556027756403,7.878213466251474e-23
KOG1010@euNOG_KOG0067@euNOG_MEME-11,0.7312311602227095,1.2390063442941585e-17
KOG2166@euNOG_KOG0281@euNOG_MEME-11,0.7294588358063487,3.510434467814369e-28
KOG0145@euNOG_KOG0696@euNOG_MEME-14,0.7280205884997257,9.303001312909959e-17
KOG2394@euNOG_KOG3656@euNOG_MEME-14,0.7269711429506169,1.6377804969153398e-18
KOG0145@euNOG_KOG0696@euNOG_MEME-13,0.7243850300053445,1.5628243664151248e-16
KOG4270@euNOG_KOG4348@euNOG_MEME-6,0.7241625913582413,1.1543182763699171e-17
KOG2993@euNOG_KOG4049@euNOG_MEME-7,0.7239765757824054,3.048966816922874e-21
KOG4203@euNOG_0IF2R@euNOG_MEME-11,0.7233005163799315,1.042064774081854e-26
KOG0147@euNOG_KOG0977@euNOG_MEME-15,0.7229399576514111,2.104899828627826e-24
KOG3414@euNOG_0IGQ1@euNOG_MEME-10,0.7221761177633592,1.9703490609984484e-26
KOG3414@euNOG_0IGQ1@euNOG_MEME-11,0.7221761177633592,1.9703490609984484e-26
KOG3833@euNOG_KOG0349@euNOG_MEME-13,0.7217113056285642,2.776319881565148e-19
KOG2608@euNOG_KOG4228@euNOG_MEME-13,0.716201878135517,9.925600014756662e-25
KOG3126@euNOG_KOG1854@euNOG_MEME-1,0.7161529142961034,1.8261876743135284e-20
KOG1472@euNOG_KOG0067@euNOG_MEME-13,0.7078248099733355,7.241695090098785e-25
KOG3148@euNOG_KOG3892@euNOG_MEME-5,0.7042261502588789,4.2265899660720646e-16
KOG2292@euNOG_KOG2754@euNOG_MEME-11,0.7024016609100421,2.1149873826447684e-25
KOG1875@euNOG_KOG3600@euNOG_MEME-8,0.7016464154456235,2.722207769116562e-17
KOG4203@euNOG_KOG0977@euNOG_MEME-11,0.7015002196298701,1.4284917105059405e-24
0IFAP@euNOG_0IGHW@euNOG_MEME-10,0.7001221559378459,4.2996175527537327e-11
KOG0505@euNOG_KOG1701@euNOG_MEME-5,0.7000942002813952,8.022847942015999e-19
KOG1472@euNOG_KOG0067@euNOG_MEME-7,0.6969506192202352,7.383018365372734e-24
0KCZ0@euNOG_KOG1048@euNOG_MEME-9,0.6925917924103976,2.9158492125885664e-13
KOG1937@euNOG_0IHDB@euNOG_MEME-9,0.689641006683344,5.60422839914155e-12
KOG0773@euNOG_KOG0067@euNOG_MEME-5,0.6895781876562052,8.176455770844629e-18
KOG3148@euNOG_KOG3892@euNOG_MEME-8,0.6859156375645503,4.727608187509116e-15
KOG0505@euNOG_0IN7T@euNOG_MEME-5,0.6840269544538697,9.9709022131464e-18
KOG3291@euNOG_KOG0832@euNOG_MEME-7,0.6837804986950663,1.1566794924498933e-23
KOG3745@euNOG_KOG2215@euNOG_MEME-11,0.6831542244166007,1.564993055649904e-17
KOG0836@euNOG_0IQSC@euNOG_MEME-12,0.6777154806687846,3.9624136369298374e-18
KOG1472@euNOG_KOG0067@euNOG_MEME-15,0.677358001576434,3.7656596395817434e-22
KOG3291@euNOG_KOG0832@euNOG_MEME-9,0.6767591134714153,4.846266117718724e-23
KOG0697@euNOG_KOG3538@euNOG_MEME-14,0.6750034798476313,2.7740084875393335e-19
KOG3342@euNOG_KOG3646@euNOG_MEME-10,0.6731897240338786,7.290358681538272e-23
KOG0836@euNOG_KOG4348@euNOG_MEME-12,0.6704822825177101,1.2019340648536048e-17
KOG4521@euNOG_KOG2271@euNOG_MEME-10,0.6689983335880452,1.363660473170719e-21
KOG0810@euNOG_KOG3065@euNOG_MEME-5,0.668378219320238,6.24531713242527e-22
KOG0505@euNOG_KOG1701@euNOG_MEME-9,0.6672597605695548,1.1709567469388616e-16
KOG3833@euNOG_KOG0349@euNOG_MEME-1,0.6668514156425469,1.0021399178011188e-15
KOG3833@euNOG_KOG0349@euNOG_MEME-5,0.6651596665084085,1.2552283323731048e-15
KOG4521@euNOG_KOG2271@euNOG_MEME-12,0.6651078266361267,2.8176515316827837e-21
KOG0810@euNOG_KOG0860@euNOG_MEME-10,0.6624680691386285,1.907918448530259e-21
KOG0381@euNOG_0IN7T@euNOG_MEME-4,0.660473410507991,3.034946806842979e-16
KOG2292@euNOG_KOG2754@euNOG_MEME-6,0.6601408296238437,1.2350193245935672e-21
KOG0549@euNOG_KOG3538@euNOG_MEME-6,0.6565560835043878,4.030316261004383e-18
KOG0697@euNOG_KOG3538@euNOG_MEME-15,0.6565487068586017,5.369022350741355e-18
KOG1864@euNOG_KOG2394@euNOG_MEME-14,0.6544842699405844,3.2780458285905146e-19
KOG0145@euNOG_KOG0696@euNOG_MEME-15,0.6534169627636893,9.427639075812201e-13
KOG3291@euNOG_KOG0832@euNOG_MEME-10,0.652370117138551,5.237394833231249e-21
KOG0505@euNOG_0IN7T@euNOG_MEME-9,0.6508215962441315,1.1281126732204503e-15
KOG0578@euNOG_KOG2070@euNOG_MEME-14,0.6501803161978957,2.647326059562341e-14
